photo_id,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator,prob_mean,prob_std,prob_min,prob_max,n_versions
01f1,0,1.0,1,originali,buono,pasta,,,1.0,0.0,1.0,1.0,8
aa9f,0,1.0,1,originali,buono,burger_panino,,,1.0,0.0,1.0,1.0,8
0256,0,1.0,1,originali,buono,pasta,,,1.0,0.0,1.0,1.0,8
270d,0,1.0,1,originali,buono,carne,,,1.0,0.0,1.0,1.0,8
8291,0,1.0,1,originali,buono,dessert,,,1.0,0.0,1.0,1.0,8
adff,0,1.0,1,originali,buono,pasta,,,1.0,0.0,1.0,1.0,8
01bd,0,0.9999999625,1,originali,buono,frutta_verdura,,,0.9999999625,5.175491692761228e-08,0.9999999,1.0,8
c61e,0,0.9999999,1,originali,buono,frutta_verdura,,,0.9999999,1.348014412853515e-07,0.99999964,1.0,8
1aa7,0,0.99999955125,1,originali,buono,altro,,,0.99999955125,3.9545407896303e-07,0.9999988,1.0,8
fcc5,0,0.9999956675,1,originali,buono,carne,,,0.9999956675,8.194197860140191e-06,0.99997544,0.9999993,8
5394,0,0.9998267925000001,1,originali,buono,pizza,,,0.9998267925000001,0.0004851964281092675,0.998626,0.9999999,8
e02f,0,0.9993968962499999,1,originali,buono,patatine,,,0.9993968962499999,0.0001533084341112261,0.9990452,0.99956495,8
e3e2,0,0.997770455,1,originali,buono,riso_paella,,,0.997770455,0.0061400589304105545,0.98257494,0.9999907,8
2e9d,0,0.996480535,1,originali,buono,frutta_verdura,,,0.996480535,0.0045044443993016575,0.9867411,0.99998784,8
2395,0,0.992153885,1,originali,buono,pizza,,,0.992153885,0.005760607733003798,0.9845391,0.9999938,8
01c2,0,0.921885485,1,originali,buono,altro,,,0.921885485,0.04260016082069642,0.8646419,0.98000026,8
e21b,0,0.86640386875,1,originali,buono,altro,,,0.86640386875,0.15453994360854226,0.555558,0.9946338,8
