path,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/5z2uinku_pasta_buono.jpeg,0,0.9877934,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/fritti/kgsvd7x6_fritti_buono.jpeg,0,0.98773193,1,originali,buono,fritti,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/altro/oyfjj3si_altro_buono.jpeg,0,0.98328906,1,originali,buono,altro,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/pei3tbjd_pasta_buono.jpeg,0,0.9787324,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/32aagow7_pasta_buono.jpeg,0,0.97085685,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/riso_paella/la5faddp_riso_paella_buono.jpeg,0,0.9591282,1,originali,buono,riso_paella,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/altro/wsko4qco_altro_dubbio.jpeg,0,0.9573639,1,originali,buono,altro,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/dessert/eyvw27ut_dessert_buono.jpeg,0,0.93123597,1,originali,buono,dessert,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/22vza2fr_pasta_buono.jpeg,0,0.9256859,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/stk6fwdh_pasta_buono.jpeg,0,0.92295116,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/3whu6udg_pasta_buono.jpeg,0,0.9213396,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/zq4fcm43_pasta_buono.jpeg,0,0.9092975,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/aq2cqxoq_pasta_buono.jpeg,0,0.8972096,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/dessert/3upejkx2_dessert_buono.jpeg,0,0.8957516,1,originali,buono,dessert,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/riso_paella/2ji2unpp_riso_paella_buono.jpg,0,0.88112503,1,originali,buono,riso_paella,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/pvvcboi4_pasta_buono.jpeg,0,0.87714916,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/riso_paella/6lwwqikn_riso_paella_buono.jpeg,0,0.87605083,1,originali,buono,riso_paella,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/carne/vwvukcj7_carne_buono.jpeg,0,0.85743815,1,originali,buono,carne,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/altro/3ouebiyo_altro_buono.jpeg,0,0.84651583,1,originali,buono,altro,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/altro/3ibv5meg_altro_buono.jpeg,0,0.833613,1,originali,buono,altro,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/carne/tbuhtgq4_carne_buono.jpeg,0,0.78844285,1,originali,buono,carne,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/pasta/wqlepvuu_pasta_buono.jpeg,0,0.7706541,1,originali,buono,pasta,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/burger_panino/tmdn4jjm_burger_panino_buono.jpg,0,0.76295555,1,originali,buono,burger_panino,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/carne/3gzqje6t_carne_bruciato_cattivo.jpeg,0,0.74738765,1,originali,buono,carne,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/carne/sg542pgh_carne_buono.jpeg,0,0.7288902,1,originali,buono,carne,,
/content/drive/MyDrive/DatasetVerifoto/images/whatsapp_vale_id/originali/buono/altro/avk5mamu_altro_buono.jpeg,0,0.7095982,1,originali,buono,altro,,
