photo_id,y_true,y_prob,y_pred,source,quality,food_category,defect_type,generator,prob_mean,prob_std,prob_min,prob_max,n_versions
e21b,0,0.94503785,1,originali,buono,altro,,,0.94503785,0.004619958155036186,0.9362551,0.948865,8
270d,0,0.90742879375,1,originali,buono,carne,,,0.90742879375,0.023213583768383114,0.8857615,0.955235,8
e3e2,0,0.8608154025,1,originali,buono,riso_paella,,,0.8608154025,0.006233396873546238,0.85286295,0.87126875,8
01c2,0,0.8487633425,1,originali,buono,altro,,,0.8487633425,0.005691391949667094,0.8398445,0.8553683,8
01f1,0,0.8432095275,1,originali,buono,pasta,,,0.8432095275,0.006984765114675849,0.82722545,0.8515349,8
8291,0,0.8277555412500001,1,originali,buono,dessert,,,0.8277555412500001,0.009227450516599818,0.81949764,0.8470255,8
1aa7,0,0.78107316125,1,originali,buono,altro,,,0.78107316125,0.035322303674259196,0.7530138,0.86002904,8
45cb,0,0.75905678,1,originali,buono,burger_panino,,,0.75905678,0.03001908205219189,0.71466804,0.8031159,8
adff,0,0.74288212125,1,originali,buono,pasta,,,0.74288212125,0.018842851004233045,0.72947216,0.7847819,8
c61e,0,0.7336558962499999,1,originali,buono,frutta_verdura,,,0.7336558962499999,0.020505215965842098,0.7077647,0.7745332,8
0256,0,0.7113354625,1,originali,buono,pasta,,,0.7113354625,0.005248350560933403,0.70333594,0.7199972,8
2e9d,0,0.61314576625,1,originali,buono,frutta_verdura,,,0.61314576625,0.02335567737207319,0.5685009,0.635476,8
5394,0,0.5664313125,1,originali,buono,pizza,,,0.5664313125,0.011073964887970016,0.5502071,0.58415586,8
aa9f,0,0.498595085,1,originali,buono,burger_panino,,,0.498595085,0.06967499052790856,0.4547647,0.66809183,8
e02f,0,0.495987005,1,originali,buono,patatine,,,0.495987005,0.022528418125469237,0.44657668,0.5173762,8
01bd,0,0.42810420375,1,originali,buono,frutta_verdura,,,0.42810420375,0.06906048544730085,0.3951326,0.59844756,8
474b,0,0.42615817125,1,originali,buono,altro,,,0.42615817125,0.016392942898897887,0.39001653,0.44390735,8
88af,0,0.41479803875,1,originali,buono,carne,,,0.41479803875,0.04709111288279788,0.31843808,0.47546986,8
0c3d,0,0.37255510375,1,originali,cattivo,carne,bruciato,,0.37255510375,0.1283232236418167,0.12218955,0.46616825,8
